Draw,"Atlanta, GA","Chicago, IL","Dallas-Ft. Worth, TX","Houston, TX","Los Angeles, CA","Miami-Ft. Lauderdale, FL","New York, NY","Philadelphia, PA",Puerto Rico
136,-8006.589366228669,-1357050.802069207,4842.565139356884,-393411.1274624127,439528.8808168499,201126.51719564886,-336384.7031914918,-1002740.0947144273,620798.6516830504
137,-451300.35816519835,-188876.0528348625,38787.612919371226,-515041.9293024697,927855.6860478544,38970.34523175366,1195100.4483167767,-651256.1450735963,283767.76481260546
138,-94243.92546469579,-1018909.1711608011,-199689.84112853114,-1126302.9996661441,1048075.301726281,346289.4602549777,1589519.1837077714,-987545.9142433838,328675.6522710321
139,-374770.48219254,726628.1207424061,-349381.1412576472,-766961.199908219,1072469.5914357877,-100784.70652102737,2779098.593936417,-770007.0314843021,166494.31131562265
140,-345953.11590750364,-1370699.127723207,-379426.76365303306,-434012.67002450186,589158.7616257358,156305.42594374286,2639751.4141566227,-799273.4510281527,549488.1680084062
141,94115.39905694069,-910041.7623429135,-142832.73139818117,-487431.230683396,706136.3768983812,151536.68316098547,3084745.5740204835,-778272.1153373462,100572.07989753643
142,351386.65156301577,-779648.2340403699,262246.6973032488,-938453.3312978811,1275609.328849694,-423044.13116015424,120413.63237895072,-1016697.345718596,1038286.5590364166
143,-88584.35712991375,-894258.3411762415,364953.96092169115,-467654.21371570195,1242353.0337821732,-185089.02004987805,-363903.3065318172,-943232.6614869316,644093.3431454815
144,-255777.67113642045,-545822.4556845725,191471.1648353642,-119833.82151245233,521268.26749867294,270945.26787517895,1839612.2492999756,-926022.3145042426,757885.9364007317
145,-204108.83559835225,-607393.2412738252,18468.34262827784,169943.51219951874,471246.845037038,75578.78519578208,227010.86951045878,-574347.2580134942,297484.46426564036
146,-385147.1159860657,-1354644.6134132151,-108381.8345647828,-800738.6408726847,350149.93150034477,652114.5388749692,1528152.5416649575,-906017.9169528097,560198.4760537182
147,-22529.673844491597,-978015.9335044461,-51608.37183948222,-463098.77377608814,153986.97915917076,-150657.42905481707,2530686.497330293,-853233.3422862996,725333.2933626497
148,33688.984421352216,-1843227.1931387663,-321079.06708722643,-369697.11579368426,1093095.973382453,360361.43743911874,-1416652.251041322,-540594.5715983302,148872.1188686497
149,-549154.4172915017,19770.437744984752,-190616.31780233572,-421315.8585519645,750942.6765959512,100583.03099645919,1540069.7169364977,-600661.3477690635,703109.4958971881
150,470632.45944939804,-319706.82717364107,-29431.448603976052,-582070.3179401103,1135333.2449308839,67669.2387735513,751644.654008769,-483368.92240771186,393748.04342836584
151,-274951.02597935987,-37515.11503244506,265612.3448339631,-96936.28829712921,1607467.5504834845,233576.31118391838,951155.4228554037,-414618.2708093197,854853.5991912206
152,28689.41222472652,-509720.44558251917,-100400.76335934224,-1067394.284824415,327937.93556711567,339927.21260647743,-352463.1336399922,-569739.9199736341,457538.48106253357
153,-627312.4091531016,-2128034.213651978,654224.5374748721,-1650657.6077917893,848515.6278067664,-203572.84231031325,2225442.343946618,-390527.35247669974,-133594.49808503548
154,-753002.3608435057,327064.72773335886,134668.03073308815,338666.69982504856,208416.8619722845,-486331.887229603,310384.94350693095,-232560.2700472757,798440.5695417309
155,-228220.6216307683,-73480.85418831639,85182.53199906822,-1714359.7744913464,517824.18121281196,533366.9549161985,2141564.846801546,-413934.04240066,289338.7762476329
156,-151185.83987480373,-1116728.0367867318,20989.1510841985,-1028117.8369156701,1226313.161458004,13212.818178587011,-1009449.5623739469,-565452.550748103,405743.9478562018
157,-191892.71797302703,-1507445.6586515605,156110.70570362848,28180.116841743817,798813.9310596329,-118819.17176336015,973241.6646624045,-650863.7020879065,687031.4767156583
158,95727.347881658,-722098.5254795427,-115733.35155154066,-947019.8643809793,777155.0849655075,587828.3577164295,20866.396815123968,-651236.4493356621,433454.14918754366
159,146490.18764210778,-1047001.6044979013,32423.456869355403,-794337.8692889455,976712.6544908534,-29105.623985415674,207372.8974262341,-897409.1148414867,720602.8020588709
160,-449964.85981124407,-415189.4307808309,-185274.20455110772,-441063.09597552754,754194.667183877,365987.14992479316,-456733.0993289291,-748076.5387223843,807576.7406906115
161,-339869.56401391374,-1303089.7314714459,-442717.8150808875,-603064.1592488023,810909.3471295966,305721.6110752908,-356423.58856349764,-623863.9267717093,773789.6638835826
